MovieID,Title,Year,Genre
1,The Shawshank Redemption,1994,Drama
2,The Godfather,1972,Drama|Crime
3,The Dark Knight,2008,Drama|Crime|Action
4,The Godfather Part II,1974,Drama|Crime
5,12 Angry Men,1957,Drama|Crime
6,Schindler's List,1993,History|Drama|Biography
7,The Lord of the Rings: The Return of the King,2003,Drama|Adventure|Action
8,Pulp Fiction,1994,Drama|Crime
9,The Lord of the Rings: The Fellowship of the Ring,2001,Drama|Adventure|Action
10,"Il buono, il brutto, il cattivo",1966,Western|Adventure
11,Forrest Gump,1994,Romance|Drama
12,Fight Club,1999,Drama
13,Inception,2010,Sci-Fi|Adventure|Action
14,The Lord of the Rings: The Two Towers,2002,Drama|Adventure|Action
15,The Empire Strikes Back,1980,Fantasy|Adventure|Action
16,The Matrix,1999,Sci-Fi|Action
17,Goodfellas,1990,Drama|Crime|Biography
18,One Flew Over the Cuckoo's Nest,1975,Drama
19,Se7en,1995,Mystery|Drama|Crime
20,Shichinin no samurai,1954,Drama|Action
21,It's a Wonderful Life,1946,Fantasy|Family|Drama
22,The Silence of the Lambs,1991,Thriller|Drama|Crime
23,Cidade de Deus,2002,Drama|Crime
24,Saving Private Ryan,1998,War|Drama
25,La vita  bella,1997,Romance|Drama|Comedy
26,The Green Mile,1999,Fantasy|Drama|Crime
27,Interstellar,2014,Sci-Fi|Drama|Adventure
28,Star Wars,1977,Fantasy|Adventure|Action
29,Terminator 2: Judgment Day,1991,Sci-Fi|Action
30,Back to the Future,1985,Sci-Fi|Comedy|Adventure
31,Sen to Chihiro no kamikakushi,2001,Family|Adventure|Animation
32,Psycho,1960,Thriller|Mystery|Horror
33,The Pianist,2002,Music|Drama|Biography
34,Lon,1994,Drama|Crime|Action
35,Gisaengchung,2019,Thriller|Drama|Comedy
36,The Lion King,1994,Drama|Adventure|Animation
37,Gladiator,2000,Drama|Adventure|Action
38,American History X,1998,Drama|Crime
39,The Usual Suspects,1995,Mystery|Drama|Crime
40,The Departed,2006,Thriller|Drama|Crime
41,The Prestige,2006,Sci-Fi|Mystery|Drama
42,Casablanca,1942,War|Romance|Drama
43,Whiplash,2014,Music|Drama
44,The Intouchables,2011,Drama|Comedy|Biography
45,Top Gun: Maverick,2022,Drama|Action
46,Modern Times,1936,Romance|Drama|Comedy
47,Seppuku,1962,Mystery|Drama|Action
48,Hotaru no haka,1988,War|Drama|Animation
49,Once Upon a Time in the West,1968,Western
50,Rear Window,1954,Thriller|Mystery
51,Alien,1979,Sci-Fi|Horror
52,City Lights,1931,Romance|Drama|Comedy
53,Nuovo Cinema Paradiso,1988,Romance|Drama
54,Memento,2000,Thriller|Mystery
55,Apocalypse Now,1979,War|Mystery|Drama
56,Raiders of the Lost Ark,1981,Adventure|Action
57,Django Unchained,2012,Western|Drama
58,WALLE,2008,Family|Adventure|Animation
