MovieID,SourceSite,Rating,NumberOfRatings
1,IMDb,9.2,2609677
1,RottenTomatoes,9.8,250000
1,Metacritic,9.0,2013
2,IMDb,9.2,1805379
2,RottenTomatoes,9.8,250000
2,Metacritic,9.2,3830
3,IMDb,9.0,2581684
3,RottenTomatoes,9.4,250000
3,Metacritic,8.9,6573
4,IMDb,9.0,1242152
4,RottenTomatoes,9.7,250000
4,Metacritic,9.2,1138
5,IMDb,8.9,771167
5,RottenTomatoes,8.7,10000
5,Metacritic,9.0,578
6,IMDb,8.9,1326617
6,RottenTomatoes,9.1,50
6,Metacritic,8.8,1346
7,IMDb,8.9,1791452
7,RottenTomatoes,8.6,250000
7,Metacritic,8.9,3177
8,IMDb,8.9,1999730
8,RottenTomatoes,9.6,250000
8,Metacritic,9.0,3249
9,IMDb,8.8,1812481
9,RottenTomatoes,9.5,250000
9,Metacritic,9.1,2363
10,IMDb,8.8,747811
10,RottenTomatoes,9.7,100000
11,IMDb,8.8,2017208
11,RottenTomatoes,9.5,250000
11,Metacritic,7.8,1498
12,IMDb,8.7,2056270
12,RottenTomatoes,9.6,250000
12,Metacritic,8.9,2051
13,IMDb,8.7,2289972
13,RottenTomatoes,9.1,250000
13,Metacritic,8.8,4693
14,IMDb,8.7,1617837
14,RottenTomatoes,9.5,250000
14,Metacritic,9.0,1904
15,IMDb,8.7,1263426
15,RottenTomatoes,9.7,250000
15,Metacritic,9.1,2054
16,IMDb,8.7,1872326
16,RottenTomatoes,8.5,250000
16,Metacritic,8.9,1908
17,IMDb,8.7,1129153
17,RottenTomatoes,9.7,250000
17,Metacritic,8.7,1186
18,IMDb,8.6,989745
18,RottenTomatoes,9.6,250000
18,Metacritic,8.7,523
19,IMDb,8.6,1602859
19,RottenTomatoes,9.5,250000
19,Metacritic,8.8,1184
20,IMDb,8.6,341192
20,RottenTomatoes,9.7,50000
21,IMDb,8.6,448026
21,RottenTomatoes,1.4,100
21,Metacritic,8.5,172
22,IMDb,8.6,1396740
22,RottenTomatoes,9.5,250000
22,Metacritic,8.8,816
23,IMDb,8.6,745391
23,RottenTomatoes,9.7,250000
24,IMDb,8.6,1358703
24,RottenTomatoes,9.5,250000
24,Metacritic,8.8,1238
25,IMDb,8.6,681279
25,RottenTomatoes,9.6,100000
26,IMDb,8.6,1268728
26,RottenTomatoes,9.4,250000
26,Metacritic,8.2,656
27,IMDb,8.6,1752258
27,RottenTomatoes,8.6,100000
27,Metacritic,8.5,4769
28,IMDb,8.6,1336082
28,RottenTomatoes,9.6,250000
28,Metacritic,8.8,2475
29,IMDb,8.5,1076162
29,RottenTomatoes,9.5,250000
29,Metacritic,8.9,1240
30,IMDb,8.5,1172010
30,RottenTomatoes,9.4,250000
30,Metacritic,8.9,922
31,IMDb,8.5,740416
31,RottenTomatoes,9.6,250000
32,IMDb,8.5,658212
32,RottenTomatoes,9.5,100000
32,Metacritic,7.8,222
33,IMDb,8.5,812060
33,RottenTomatoes,3.3,100
33,Metacritic,7.9,511
34,IMDb,8.5,1135636
34,RottenTomatoes,7.5,50
35,IMDb,8.5,757872
36,IMDb,8.5,1033800
36,RottenTomatoes,9.3,250000
36,Metacritic,8.8,880
37,IMDb,8.5,1465659
37,RottenTomatoes,8.7,250000
37,Metacritic,8.8,1036
38,IMDb,8.5,1103254
38,RottenTomatoes,9.6,250000
38,Metacritic,8.7,699
39,IMDb,8.5,1067199
39,RottenTomatoes,9.6,250000
39,Metacritic,8.7,667
40,IMDb,8.5,1296746
40,RottenTomatoes,9.4,250000
40,Metacritic,7.0,1892
41,IMDb,8.5,1303671
41,RottenTomatoes,9.2,250000
41,Metacritic,8.6,1440
42,IMDb,8.5,563068
42,RottenTomatoes,9.5,250000
42,Metacritic,8.8,425
43,IMDb,8.5,821908
43,RottenTomatoes,9.4,50000
43,Metacritic,8.9,1555
44,IMDb,8.5,838436
44,RottenTomatoes,9.3,25000
44,Metacritic,8.2,495
45,IMDb,8.5,229633
45,RottenTomatoes,9.9,50000
45,Metacritic,8.9,372
46,IMDb,8.5,238913
46,RottenTomatoes,9.5,25000
46,Metacritic,8.8,182
47,IMDb,8.4,54957
48,IMDb,8.4,269886
48,RottenTomatoes,9.5,50000
49,IMDb,8.4,325128
49,RottenTomatoes,9.5,50000
49,Metacritic,8.3,249
50,IMDb,8.4,483690
50,RottenTomatoes,9.5,100000
50,Metacritic,8.7,440
51,IMDb,8.4,860994
51,RottenTomatoes,9.4,250000
51,Metacritic,8.9,1022
52,IMDb,8.4,182608
52,RottenTomatoes,9.6,25000
52,Metacritic,8.9,124
53,IMDb,8.4,256556
53,RottenTomatoes,9.7,50000
54,IMDb,8.4,1214949
54,RottenTomatoes,9.4,250000
54,Metacritic,9.0,1471
55,IMDb,8.4,655760
55,RottenTomatoes,9.4,250000
55,Metacritic,8.8,727
56,IMDb,8.4,949513
56,RottenTomatoes,9.6,250000
56,Metacritic,8.9,940
57,IMDb,8.4,1509784
57,RottenTomatoes,9.2,250000
57,Metacritic,8.6,2482
58,IMDb,8.4,1092947
58,RottenTomatoes,1.9,1000
59,IMDb,8.4,385203
59,RottenTomatoes,9.6,100000
59,Metacritic,8.7,385
60,IMDb,8.4,219026
60,RottenTomatoes,9.5,50000
61,IMDb,8.4,194668
61,RottenTomatoes,9.5,25000
61,Metacritic,8.4,33
62,IMDb,8.4,994134
62,RottenTomatoes,9.3,250000
62,Metacritic,8.7,1052
63,IMDb,8.4,221395
63,RottenTomatoes,9.5,25000
64,IMDb,8.4,123160
64,RottenTomatoes,9.5,5000
65,IMDb,8.4,1033190
65,RottenTomatoes,9.1,50000
65,Metacritic,8.5,4641
66,IMDb,8.3,704304
66,RottenTomatoes,9.4,250000
66,Metacritic,9.0,976
67,IMDb,8.3,1137484
67,RottenTomatoes,9.3,250000
67,Metacritic,8.8,1183
68,IMDb,8.3,483590
68,RottenTomatoes,9.4,100000
68,Metacritic,8.4,856
69,IMDb,8.3,501448
69,RottenTomatoes,9.3,10000
69,Metacritic,8.2,1980
70,IMDb,8.3,1666214
70,RottenTomatoes,9.0,250000
70,Metacritic,8.8,8246
71,IMDb,8.3,566555
72,IMDb,8.3,1213739
72,RottenTomatoes,3.3,50
72,Metacritic,8.9,7429
73,IMDb,8.3,395788
73,RottenTomatoes,9.5,100000
73,Metacritic,8.3,405
74,IMDb,8.3,1022692
74,RottenTomatoes,8.5,250000
74,Metacritic,8.3,637
75,IMDb,8.3,973006
75,RottenTomatoes,9.2,250000
75,Metacritic,8.8,1453
76,IMDb,8.3,485455
76,RottenTomatoes,1.5,250
76,Metacritic,7.3,8
77,IMDb,8.3,248321
77,RottenTomatoes,9.6,25000
77,Metacritic,7.1,198
78,IMDb,8.3,1407738
78,RottenTomatoes,8.8,250000
78,Metacritic,7.8,1771
79,IMDb,8.3,385657
79,RottenTomatoes,9.4,100000
80,IMDb,8.3,1074401
80,RottenTomatoes,9.0,50000
80,Metacritic,7.9,5670
81,IMDb,8.3,345847
81,RottenTomatoes,9.3,50000
81,Metacritic,7.7,113
82,IMDb,8.3,945452
82,RottenTomatoes,9.4,250000
82,Metacritic,8.7,605
83,IMDb,8.3,820882
83,RottenTomatoes,9.0,250000
83,Metacritic,8.9,1983
84,IMDb,8.3,826871
84,RottenTomatoes,9.3,250000
84,Metacritic,8.8,864
85,IMDb,8.3,255764
85,RottenTomatoes,10.0,50
86,IMDb,8.3,238979
86,RottenTomatoes,9.5,100000
86,Metacritic,8.7,205
87,IMDb,8.3,389967
87,RottenTomatoes,9.3,10000
87,Metacritic,8.2,202
88,IMDb,8.3,1032104
88,RottenTomatoes,9.4,250000
88,Metacritic,8.4,1794
89,IMDb,8.3,656338
89,RottenTomatoes,8.9,250000
89,Metacritic,8.2,1277
90,IMDb,8.3,988005
90,RottenTomatoes,9.4,250000
90,Metacritic,8.8,1135
91,IMDb,8.3,997564
91,RottenTomatoes,9.4,250000
91,Metacritic,8.6,900
92,IMDb,8.3,43629
93,IMDb,8.3,86280
93,RottenTomatoes,9.3,1000
94,IMDb,8.3,436756
94,RottenTomatoes,9.0,100000
94,Metacritic,8.4,747
95,IMDb,8.3,289884
95,RottenTomatoes,9.3,50000
95,Metacritic,8.6,381
96,IMDb,8.3,322601
96,RottenTomatoes,9.3,10000
97,IMDb,8.3,156176
97,RottenTomatoes,9.5,25000
98,IMDb,8.3,323565
98,RottenTomatoes,9.4,50000
98,Metacritic,8.0,189
99,IMDb,8.2,396774
99,RottenTomatoes,9.3,100000
99,Metacritic,8.6,330
100,IMDb,8.2,747160
100,RottenTomatoes,9.5,250000
101,IMDb,8.2,76430
101,RottenTomatoes,10.0,50
102,IMDb,8.2,815294
102,RottenTomatoes,9.3,250000
102,Metacritic,7.2,1050
103,IMDb,8.2,729508
103,RottenTomatoes,9.4,250000
103,Metacritic,7.4,587
104,IMDb,8.2,155380
104,RottenTomatoes,9.5,25000
104,Metacritic,8.5,64
105,IMDb,8.2,179395
105,RottenTomatoes,9.4,25000
105,Metacritic,7.8,53
106,IMDb,8.2,818559
106,RottenTomatoes,9.3,250000
106,Metacritic,8.8,762
107,IMDb,8.2,77323
107,RottenTomatoes,9.7,10000
107,Metacritic,8.4,5
108,IMDb,8.2,258933
108,RottenTomatoes,2.9,1000
108,Metacritic,8.2,66
109,IMDb,8.2,313353
109,RottenTomatoes,9.2,100000
109,Metacritic,8.5,85
110,IMDb,8.2,806913
110,RottenTomatoes,9.3,250000
110,Metacritic,7.6,1173
111,IMDb,8.2,1022523
111,RottenTomatoes,9.0,250000
111,Metacritic,8.7,1438
112,IMDb,8.2,575231
112,RottenTomatoes,9.4,100000
112,Metacritic,8.6,587
113,IMDb,8.2,639784
113,RottenTomatoes,9.4,100000
113,Metacritic,8.7,615
114,IMDb,8.2,172420
114,RottenTomatoes,6.0,50
114,Metacritic,8.6,220
115,IMDb,8.2,242628
115,RottenTomatoes,9.2,10000
116,IMDb,8.2,862340
116,RottenTomatoes,9.4,250000
116,Metacritic,5.5,974
117,IMDb,8.2,841687
117,RottenTomatoes,9.3,250000
117,Metacritic,8.7,587
118,IMDb,8.2,173939
118,RottenTomatoes,9.2,10000
118,Metacritic,8.1,191
119,IMDb,8.2,89693
119,RottenTomatoes,8.9,1000
119,Metacritic,7.6,283
120,IMDb,8.2,161673
120,RottenTomatoes,9.4,25000
121,IMDb,8.2,742815
121,RottenTomatoes,9.4,250000
121,Metacritic,8.4,508
122,IMDb,8.2,560453
122,RottenTomatoes,8.8,25000
122,Metacritic,8.3,914
123,IMDb,8.2,190051
123,RottenTomatoes,9.6,10000
124,IMDb,8.2,352009
