Title,Year,Rating,Genre,NumberOfRatings
The Shawshank Redemption,1994,9.2,Drama,2609677
The Godfather,1972,9.2,Drama Crime,1805379
The Dark Knight,2008,9.0,Drama Crime Action,2581684
The Godfather Part II,1974,9.0,Drama Crime,1242152
12 Angry Men,1957,8.9,Drama Crime,771167
Schindler's List,1993,8.9,History Drama Biography,1326617
The Lord of the Rings: The Return of the King,2003,8.9,Drama Adventure Action,1791452
Pulp Fiction,1994,8.9,Drama Crime,1999730
The Lord of the Rings: The Fellowship of the Ring,2001,8.8,Drama Adventure Action,1812481
"Il buono, il brutto, il cattivo",1966,8.8,Western Adventure,747811
Forrest Gump,1994,8.8,Romance Drama,2017208
Fight Club,1999,8.7,Drama,2056270
Inception,2010,8.7,Sci-Fi Adventure Action,2289972
The Lord of the Rings: The Two Towers,2002,8.7,Drama Adventure Action,1617837
The Empire Strikes Back,1980,8.7,Fantasy Adventure Action,1263426
The Matrix,1999,8.7,Sci-Fi Action,1872326
Goodfellas,1990,8.7,Drama Crime Biography,1129153
One Flew Over the Cuckoo's Nest,1975,8.6,Drama,989745
Se7en,1995,8.6,Mystery Drama Crime,1602859
Shichinin no samurai,1954,8.6,Drama Action,341192
It's a Wonderful Life,1946,8.6,Fantasy Family Drama,448026
The Silence of the Lambs,1991,8.6,Thriller Drama Crime,1396740
Cidade de Deus,2002,8.6,Drama Crime,745391
Saving Private Ryan,1998,8.6,War Drama,1358703
La vita è bella,1997,8.6,Romance Drama Comedy,681279
The Green Mile,1999,8.6,Fantasy Drama Crime,1268728
Interstellar,2014,8.6,Sci-Fi Drama Adventure,1752258
Star Wars,1977,8.6,Fantasy Adventure Action,1336082
Terminator 2: Judgment Day,1991,8.5,Sci-Fi Action,1076162
Back to the Future,1985,8.5,Sci-Fi Comedy Adventure,1172010
Sen to Chihiro no kamikakushi,2001,8.5,Family Adventure Animation,740416
Psycho,1960,8.5,Thriller Mystery Horror,658212
The Pianist,2002,8.5,Music Drama Biography,812060
Léon,1994,8.5,Drama Crime Action,1135636
Gisaengchung,2019,8.5,Thriller Drama Comedy,757872
The Lion King,1994,8.5,Drama Adventure Animation,1033800
Gladiator,2000,8.5,Drama Adventure Action,1465659
American History X,1998,8.5,Drama Crime,1103254
The Usual Suspects,1995,8.5,Mystery Drama Crime,1067199
The Departed,2006,8.5,Thriller Drama Crime,1296746
The Prestige,2006,8.5,Sci-Fi Mystery Drama,1303671
Casablanca,1942,8.5,War Romance Drama,563068
Whiplash,2014,8.5,Music Drama,821908
The Intouchables,2011,8.5,Drama Comedy Biography,838436
Top Gun: Maverick,2022,8.5,Drama Action,229633
Modern Times,1936,8.5,Romance Drama Comedy,238913
Seppuku,1962,8.4,Mystery Drama Action,54957
Hotaru no haka,1988,8.4,War Drama Animation,269886
Once Upon a Time in the West,1968,8.4,Western,325128
Rear Window,1954,8.4,Thriller Mystery,483690
Alien,1979,8.4,Sci-Fi Horror,860994
City Lights,1931,8.4,Romance Drama Comedy,182608
Nuovo Cinema Paradiso,1988,8.4,Romance Drama,256556
Memento,2000,8.4,Thriller Mystery,1214949
Apocalypse Now,1979,8.4,War Mystery Drama,655760
Raiders of the Lost Ark,1981,8.4,Adventure Action,949513
Django Unchained,2012,8.4,Western Drama,1509784
WALL·E,2008,8.4,Family Adventure Animation,1092947
The Lives of Others,2006,8.4,Thriller Mystery Drama,385203
Sunset Blvd.,1950,8.4,Film-Noir Drama,219026
Paths of Glory,1957,8.4,War Drama,194668
The Shining,1980,8.4,Horror Drama,994134
The Great Dictator,1940,8.4,War Drama Comedy,221395
