Title,Rating,NumberOfRatings
The Shawshank Redemption,9.0,2013
The Godfather,9.2,3830
The Dark Knight,8.9,6573
The Godfather Part II,9.2,1138
12 Angry Men,9.0,578
Schindler's List,8.8,1346
The Lord of the Rings: The Return of the King,8.9,3177
Pulp Fiction,9.0,3249
The Lord of the Rings: The Fellowship of the Ring,9.1,2363
Forrest Gump,7.8,1498
Fight Club,8.9,2051
Inception,8.8,4693
The Lord of the Rings: The Two Towers,9.0,1904
The Empire Strikes Back,9.1,2054
The Matrix,8.9,1908
Goodfellas,8.7,1186
One Flew Over the Cuckoo's Nest,8.7,523
Se7en,8.8,1183
It's a Wonderful Life,8.5,172
The Silence of the Lambs,8.8,816
Saving Private Ryan,8.8,1238
The Green Mile,8.2,656
Interstellar,8.5,4769
Star Wars,8.8,2475
Terminator 2: Judgment Day,8.9,1240
Back to the Future,8.9,922
Psycho,7.8,222
The Pianist,7.9,511
The Lion King,8.8,880
Gladiator,8.8,1036
American History X,8.7,699
The Usual Suspects,8.7,667
The Departed,7.0,1892
The Prestige,8.6,1440
Casablanca,8.8,425
Whiplash,8.9,1555
The Intouchables,8.2,495
Top Gun: Maverick,8.9,372
Modern Times,8.8,182
Once Upon a Time in the West,8.3,249
Rear Window,8.7,440
Alien,8.9,1022
City Lights,8.9,124
Memento,9.0,1471
Apocalypse Now,8.8,727
Raiders of the Lost Ark,8.9,940
Django Unchained,8.6,2482
The Lives of Others,8.7,385
Paths of Glory,8.4,33
The Shining,8.7,1052
Avengers: Infinity War,8.5,4641
Aliens,9.0,976
American Beauty,8.8,1183
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8.4,856
Spider-Man: Into the Spider-Verse,8.2,1980
The Dark Knight Rises,8.8,8246
Joker,8.9,7429
Amadeus,8.3,405
Braveheart,8.3,637
Toy Story,8.8,1453
Coco,7.3,8
Das Boot,7.1,198
Inglourious Basterds,7.8,1771
Avengers: Endgame,7.9,5670
Once Upon a Time in America,7.7,113
Good Will Hunting,8.7,605
Toy Story 3,8.9,1983
Requiem for a Dream,8.8,864
Singin' in the Rain,8.7,205
3 Idiots,8.2,202
Star Wars: Episode VI - Return of the Jedi,8.4,1794
2001: A Space Odyssey,8.2,1277
Eternal Sunshine of the Spotless Mind,8.8,1135
Reservoir Dogs,8.6,900
Citizen Kane,8.4,747
Lawrence of Arabia,8.6,381
North by Northwest,8.0,189
Vertigo,8.6,330
A Clockwork Orange,7.2,1050
Full Metal Jacket,7.4,587
Double Indemnity,8.5,64
The Apartment,7.8,53
Scarface,8.8,762
Ikiru,8.4,5
The Sting,8.2,66
To Kill a Mockingbird,8.5,85
Taxi Driver,7.6,1173
Up,8.7,1438
L.A. Confidential,8.6,587
Heat,8.7,615
Metropolis,8.6,220
Die Hard,5.5,974
Snatch,8.7,587
Incendies,8.1,191
Hamilton,7.6,283
Indiana Jones and the Last Crusade,8.4,508
1917,8.3,914
Batman Begins,8.4,2794
Spider-Man: No Way Home,8.6,2835
Dangal,8.3,62
The Kid,6.4,34
Some Like It Hot,8.4,174
All About Eve,8.7,106
The Father,8.6,251
Green Book,8.0,588
The Wolf of Wall Street,6.5,2370
Judgment at Nuremberg,8.4,28
Ran,8.4,182
Unforgiven,8.2,280
Casino,8.8,641
Pan's Labyrinth,8.6,2795
There Will Be Blood,8.1,1674
The Sixth Sense,8.8,767
A Beautiful Mind,8.1,460
The Truman Show,6.7,1091
Monty Python and the Holy Grail,8.6,431
The Treasure of the Sierra Madre,8.1,118
Shutter Island,8.5,1487
Rashômon,8.6,64
Jurassic Park,8.8,1015
The Great Escape,8.4,49
Kill Bill: Vol. 1,8.7,1407
Everything Everywhere All at Once,7.8,437
No Country for Old Men,7.9,1889
Finding Nemo,8.7,1076
The Elephant Man,8.5,66
Chinatown,8.7,370
Raging Bull,7.0,571
Gone with the Wind,8.3,230
V for Vendetta,7.7,1365
The Thing,6.3,295
Inside Out,4.7,7
"Lock, Stock and Two Smoking Barrels",8.2,263
Dial M for Murder,8.4,78
The Bridge on the River Kwai,8.4,77
"Three Billboards Outside Ebbing, Missouri",7.8,1000
Trainspotting,8.7,602
Warrior,8.5,510
Gran Torino,7.9,817
Fargo,8.6,771
Prisoners,8.5,1229
Million Dollar Baby,7.5,608
Catch Me If You Can,8.5,626
Blade Runner,8.7,1306
On the Waterfront,8.7,198
The Third Man,8.5,94
Ben-Hur,5.0,155
12 Years a Slave,8.1,1606
Before Sunrise,8.6,359
Gone Girl,8.2,1539
Harry Potter and the Deathly Hallows: Part 2,8.1,1847
The Deer Hunter,7.6,238
In the Name of the Father,8.2,126
The Grand Budapest Hotel,8.4,1418
Mr. Smith Goes to Washington,8.4,34
Barry Lyndon,8.6,89
Klaus,8.6,324
Hacksaw Ridge,8.2,820
Room,4.8,5
The Big Lebowski,8.6,750
Mad Max: Fury Road,8.5,4205
How to Train Your Dragon,8.7,844
"Monsters, Inc.",8.6,705
Jaws,8.7,664
Dead Poets Society,8.3,273
Hotel Rwanda,8.6,258
Rocky,8.6,207
Platoon,8.0,133
Ford v Ferrari,8.3,657
Stand by Me,8.4,104
The Terminator,7.6,1104
Spotlight,8.2,994
Rush,8.5,705
Network,8.4,69
Into the Wild,8.1,477
Logan,6.9,330
The Wizard of Oz,8.5,467
Ratatouille,8.6,1954
Groundhog Day,8.5,426
Before Sunset,8.6,406
The Exorcist,8.7,490
