Title,Rating,NumberOfRatings
The Shawshank Redemption,9.8,250000
The Godfather,9.8,250000
The Dark Knight,9.4,250000
The Godfather Part II,9.7,250000
12 Angry Men,8.7,10000
Schindler's List,9.1,50
The Lord of the Rings: The Return of the King,8.6,250000
Pulp Fiction,9.6,250000
The Lord of the Rings: The Fellowship of the Ring,9.5,250000
"Il buono, il brutto, il cattivo",9.7,100000
Forrest Gump,9.5,250000
Fight Club,9.6,250000
Inception,9.1,250000
The Lord of the Rings: The Two Towers,9.5,250000
The Empire Strikes Back,9.7,250000
The Matrix,8.5,250000
Goodfellas,9.7,250000
One Flew Over the Cuckoo's Nest,9.6,250000
Se7en,9.5,250000
Shichinin no samurai,9.7,50000
It's a Wonderful Life,1.4,100
The Silence of the Lambs,9.5,250000
Cidade de Deus,9.7,250000
Saving Private Ryan,9.5,250000
La vita è bella,9.6,100000
The Green Mile,9.4,250000
Interstellar,8.6,100000
Star Wars,9.6,250000
Terminator 2: Judgment Day,9.5,250000
Back to the Future,9.4,250000
Sen to Chihiro no kamikakushi,9.6,250000
Psycho,9.5,100000
The Pianist,3.3,100
Léon,7.5,50
The Lion King,9.3,250000
Gladiator,8.7,250000
American History X,9.6,250000
The Usual Suspects,9.6,250000
The Departed,9.4,250000
The Prestige,9.2,250000
Casablanca,9.5,250000
Whiplash,9.4,50000
The Intouchables,9.3,25000
Top Gun: Maverick,9.9,50000
Modern Times,9.5,25000
Hotaru no haka,9.5,50000
Once Upon a Time in the West,9.5,50000
Rear Window,9.5,100000
Alien,9.4,250000
City Lights,9.6,25000
Nuovo Cinema Paradiso,9.7,50000
Memento,9.4,250000
Apocalypse Now,9.4,250000
Raiders of the Lost Ark,9.6,250000
Django Unchained,9.2,250000
WALL·E,1.9,1000
The Lives of Others,9.6,100000
Sunset Blvd.,9.5,50000
Paths of Glory,9.5,25000
The Shining,9.3,250000
The Great Dictator,9.5,25000
Witness for the Prosecution,9.5,5000
Avengers: Infinity War,9.1,50000
Aliens,9.4,250000
American Beauty,9.3,250000
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,9.4,100000
Spider-Man: Into the Spider-Verse,9.3,10000
The Dark Knight Rises,9.0,250000
Joker,3.3,50
Amadeus,9.5,100000
Braveheart,8.5,250000
Toy Story,9.2,250000
Coco,1.5,250
Das Boot,9.6,25000
Inglourious Basterds,8.8,250000
Mononoke-hime,9.4,100000
Avengers: Endgame,9.0,50000
Once Upon a Time in America,9.3,50000
Good Will Hunting,9.4,250000
Toy Story 3,9.0,250000
Requiem for a Dream,9.3,250000
Kimi no na wa.,10.0,50
Singin' in the Rain,9.5,100000
3 Idiots,9.3,10000
Star Wars: Episode VI - Return of the Jedi,9.4,250000
2001: A Space Odyssey,8.9,250000
Eternal Sunshine of the Spotless Mind,9.4,250000
Reservoir Dogs,9.4,250000
Capharnaüm,9.3,1000
Citizen Kane,9.0,100000
Lawrence of Arabia,9.3,50000
Jagten,9.3,10000
M - Eine Stadt sucht einen Mörder,9.5,25000
North by Northwest,9.4,50000
Vertigo,9.3,100000
Le fabuleux destin d'Amélie Poulain,9.5,250000
Idi i smotri,10.0,50
A Clockwork Orange,9.3,250000
Full Metal Jacket,9.4,250000
Double Indemnity,9.5,25000
The Apartment,9.4,25000
Scarface,9.3,250000
Ikiru,9.7,10000
The Sting,2.9,1000
To Kill a Mockingbird,9.2,100000
Taxi Driver,9.3,250000
Up,9.0,250000
L.A. Confidential,9.4,100000
Heat,9.4,100000
Metropolis,6.0,50
Jodaeiye Nader az Simin,9.2,10000
Die Hard,9.4,250000
Snatch,9.3,250000
Incendies,9.2,10000
Hamilton,8.9,1000
Ladri di biciclette,9.4,25000
Indiana Jones and the Last Crusade,9.4,250000
1917,8.8,25000
Taare Zameen Par,9.6,10000
Batman Begins,9.4,250000
Spider-Man: No Way Home,9.8,25000
Dangal,9.3,1000
The Kid,4.9,50000
Some Like It Hot,9.4,50000
All About Eve,9.4,25000
The Father,2.6,50
Green Book,9.1,10000
The Wolf of Wall Street,8.3,100000
Judgment at Nuremberg,9.3,5000
Ran,9.5,25000
Unforgiven,7.7,250
Casino,9.3,250000
Pan's Labyrinth,9.1,250000
There Will Be Blood,8.6,250000
The Sixth Sense,9.0,250000
A Beautiful Mind,9.3,250000
The Truman Show,8.9,250000
Monty Python and the Holy Grail,9.5,250000
Shutter Island,7.7,250000
Jurassic Park,9.1,250000
The Great Escape,9.5,100000
Kill Bill: Vol. 1,8.1,250000
Everything Everywhere All at Once,8.9,2500
No Country for Old Men,8.6,250000
Finding Nemo,8.6,250000
The Elephant Man,8.7,50
Chinatown,9.3,50000
Raging Bull,9.3,100000
Gone with the Wind,9.2,250000
V for Vendetta,9.0,250000
The Thing,8.6,100
Inside Out,3.8,250
"Lock, Stock and Two Smoking Barrels",9.3,250000
Dial M for Murder,9.2,25000
El secreto de sus ojos,9.3,25000
The Bridge on the River Kwai,9.3,50000
Hauru no ugoku shiro,1.7,50
"Three Billboards Outside Ebbing, Missouri",8.7,10000
Trainspotting,9.3,250000
Warrior,9.2,50000
Gran Torino,9.0,250000
Fargo,9.3,100000
Prisoners,8.7,100000
Million Dollar Baby,9.0,250000
The Gold Rush,9.3,10000
Catch Me If You Can,8.9,250000
Blade Runner,9.1,250000
On the Waterfront,9.5,50000
The Third Man,9.3,50000
Bacheha-Ye aseman,9.6,10000
Ben-Hur,5.2,10000
The General,4.6,50000
Smultronstället,9.4,10000
12 Years a Slave,9.0,100000
Before Sunrise,9.3,50000
Gone Girl,8.7,100000
Harry Potter and the Deathly Hallows: Part 2,8.9,250000
The Deer Hunter,9.1,100000
In the Name of the Father,9.5,25000
The Grand Budapest Hotel,8.6,50000
Le salaire de la peur,9.5,5000
Barry Lyndon,9.2,25000
Sherlock Jr.,9.5,5000
Klaus,9.6,2500
Hacksaw Ridge,9.1,50000
Det sjunde inseglet,9.3,25000
Room,9.3,25000
Relatos salvajes,9.2,10000
The Big Lebowski,9.3,250000
Mad Max: Fury Road,8.6,100000
How to Train Your Dragon,9.1,250000
Mary and Max.,9.2,25000
"Monsters, Inc.",9.0,250000
Jaws,9.0,250000
La passion de Jeanne d'Arc,9.3,10000
Dead Poets Society,9.2,250000
Hotel Rwanda,9.4,100000
Pather Panchali,9.4,5000
Platoon,9.3,100000
Ford v Ferrari,9.8,10000
Stand by Me,10.0,50
The Terminator,8.9,250000
Spotlight,9.3,50000
Rush,8.8,50000
Network,9.3,25000
Into the Wild,8.9,100000
Logan,9.0,50000
Ratatouille,8.7,250000
Groundhog Day,8.8,250000
Before Sunset,9.2,50000
The Exorcist,8.7,250000
The Best Years of Our Lives,9.3,10000
The Incredibles,7.5,250000
To Be or Not to Be,9.3,5000
The Grapes of Wrath,8.8,10000
Rebecca,3.8,500
La battaglia di Algeri,9.5,10000
